acc_x,acc_y,acc_z,acc_magnitude,acc_variance,temperature,temp_deviation,heart_rate,respiration_rate,activity_index,rumination_rate,hr_rolling_std,hr_rolling_range,activity_rolling_std,activity_rolling_range,movement_consistency,resp_hr_ratio,health_state,health_label
0.1386,1.098,9.9421,10.0035,0.145113,40.06,1.46,108.6,44.9,1.3687,11.8,12.9708,52.8,0.7073,2.6408,22.9729,0.414,2,Stressed
-0.0881,0.03,9.8645,9.8649,0.001662,40.66,2.06,103.3,65.2,0.1726,17.1,17.618,64.18,0.2716,1.1217,228.2869,0.6312,1,Sick
-0.0738,0.3962,9.6332,9.6417,0.073761,38.76,0.16,82.1,23.2,0.6468,56.3,7.6944,28.82,0.2653,1.1011,40.106,0.2824,0,Healthy
-0.0492,-0.0762,9.799,9.7994,0.001433,36.98,1.62,119.2,12.6,0.1364,21.8,13.2112,59.69,0.2643,1.2241,189.4533,0.1057,1,Sick
0.0182,0.0798,9.7261,9.7265,0.0038,39.87,1.27,74.7,12.9,0.1819,11.9,17.6811,64.44,0.3199,1.5428,160.9595,0.1726,1,Sick
-0.5812,0.7245,10.0002,10.0432,0.054051,39.92,1.32,85.6,46.3,1.4959,20.7,8.4498,30.68,0.7211,2.5887,21.1134,0.5415,2,Stressed
0.1816,0.2375,9.6764,9.681,0.02044,38.58,0.02,63.7,25.6,0.5527,58.6,7.4134,29.04,0.3024,1.3167,61.8635,0.402,0,Healthy
0.1973,0.2952,10.5086,10.5146,0.385164,39.25,0.65,100.1,39.5,1.1911,18.6,9.9841,43.46,0.7821,3.2298,17.8004,0.3948,2,Stressed
-0.4482,-0.824,10.0763,10.1199,0.138113,38.95,0.35,82.8,47.2,1.5385,9.5,11.2028,46.24,0.8119,3.5413,20.2033,0.5703,2,Stressed
0.2193,-0.0095,9.798,9.8005,0.015077,38.53,0.07,60.4,29.3,0.2408,71.2,5.2327,21.93,0.2819,1.0586,61.8952,0.4851,0,Healthy
0.0395,0.0197,9.7938,9.7939,0.001248,36.46,2.14,83.5,10.5,0.0754,10.5,18.7026,72.36,0.4762,1.8508,166.283,0.1255,1,Sick
0.9589,0.6236,10.0138,10.0789,0.077405,39.39,0.79,89.3,39.8,1.7862,22.5,10.2818,36.06,0.5967,2.174,22.9762,0.4458,2,Stressed
0.0273,1.0663,9.997,10.0537,0.065169,39.49,0.89,104.2,46.7,1.2805,24.4,11.5632,62.36,0.7121,2.7387,23.2569,0.448,2,Stressed
0.4624,0.5561,9.6171,9.6442,0.165328,39.21,0.61,93.3,40.6,1.2115,45.9,8.1505,34.32,0.7196,3.2314,28.0975,0.4353,2,Stressed
0.0227,-0.0441,9.8369,9.837,0.000697,39.98,1.38,113.2,12.8,0.0938,8.3,19.5026,92.03,0.2018,0.9576,241.8897,0.1128,1,Sick
-0.187,-1.1835,10.0592,10.1303,0.15913,38.82,0.22,116.3,41.4,1.6197,31.0,11.0221,42.89,0.7143,2.4244,20.0695,0.3558,2,Stressed
0.2957,-0.4489,10.1387,10.1529,0.063234,38.47,0.13,61.6,22.0,1.0733,58.9,7.8965,32.55,0.3158,1.3167,53.5633,0.3567,0,Healthy
-0.0403,0.0186,9.7895,9.7896,0.000121,38.23,0.37,47.0,14.5,0.0795,17.7,2.8732,12.44,0.0201,0.077,890.8323,0.3094,3,Inactive
0.0925,0.9885,10.081,10.1297,0.176597,38.84,0.24,101.8,44.9,1.3519,30.3,11.3126,55.67,0.81,3.2071,24.8573,0.4413,2,Stressed
-0.0077,-0.006,9.7985,9.7985,5.9e-05,37.65,0.95,51.8,14.1,0.0253,25.6,4.6444,17.65,0.018,0.069,1079.3654,0.2718,3,Inactive
